time_hours,biomass_g_per_l,substrate_g_per_l,product_g_per_l,byproduct_g_per_l,do_percent
0.0,0.1,20.0,0.0,0.0,100.0
0.25,0.11735527470599266,20.085890481505853,0.007254849750600045,0.0005783613844199945,99.99562803649563
0.5,0.13769429634357588,20.16505637479226,0.015757087488645367,0.001252226507928138,99.99487030743857
0.75,0.16152736417498606,20.236347517910172,0.02572006144747133,0.002038731070701322,99.99398203645002
1.0,0.18945212847950876,20.29841687765308,0.03739363863039722,0.0029576620107661725,99.99294173994727
1.25,0.22216929739398716,20.349685159650164,0.05107076984399255,0.004031754313185809,99.99172252462803
1.5,0.2605005461210657,20.38830046118041,0.06709497451262211,0.005286948513564344,99.99029426926289
1.75,0.3054106036927969,20.412088519042786,0.0858695704390039,0.0067526033514892034,99.98862109478739
2.0,0.35803292220040517,20.418494897574334,0.10786839913988049,0.008461586150600995,99.98666002203827
2.25,0.41970069768863033,20.404515136916448,0.13364878527762195,0.010450174509405512,99.9843628344958
2.5,0.4919845777414099,20.3666098628253,0.1638672867955181,0.012757652324032625,99.98167113157753
2.75,0.5767382311942632,20.300602224644198,0.1992987247989137,0.015425391336424097,99.97851460639485
3.0,0.6761540894069434,20.201552477501238,0.24085945552737398,0.018495165720065605,99.97477913109104
3.25,0.7928323094434186,20.06360286896305,0.28963615441102136,0.02200625836995938,99.97046224325172
3.5,0.9298667777960611,19.879784274583432,0.34692170103617487,0.025990703026341416,99.96536020967531
3.75,1.0909534639667582,19.641772689849237,0.4142603736399598,0.03046572389964221,99.95935465069329
4.0,1.2805305976463481,19.339574365426017,0.49350629299780985,0.03542157572180042,99.95231456412046
4.25,1.5039603724162698,18.961117886277687,0.5868991468516532,0.040802576327187125,99.94397396992758
4.5,1.7677717548089784,18.491709401633855,0.6971653301396457,0.04647694796267591,99.93415660648854
4.75,2.0799926406179208,17.91328787888068,0.8276562294173372,0.052188502504710826,99.92254953518594
5.0,2.4506180530146957,17.203376054291397,0.9825430360974716,0.05747788078730775,99.9087828677013
5.25,2.8922904730498624,16.33355718027468,1.1670996608027924,0.06155141973185836,99.89237814977649
5.5,3.421332320165668,15.267164989965131,1.3881318371184888,0.06305536472428915,99.87274973097738
5.75,4.059324187032955,13.95575433821364,1.6546327842305948,0.06162390932362528,99.84911785367525
6.0,4.835022574516017,12.334808806481139,1.978580484989114,0.06010240945691419,99.82046065327104
6.25,5.787888792700656,10.315854917511707,2.3764028657893,0.05861847573254294,99.78542575089372
6.5,6.97272237448486,8.071480647120726,2.870902875422478,0.05717118041710668,99.74220335027681
6.75,8.451179313007763,6.286073691013598,3.4877620267057443,0.055759618940880336,99.68863850365663
7.0,10.29188082474333,4.895597027789538,4.255588919232748,0.05438290904380412,99.6225111690079
7.25,12.577546527426682,3.8126976014366565,5.208876073633495,0.05304019023598928,99.54129331420741
7.5,15.406986594475718,2.969332061858152,6.388834754348291,0.051730623272941104,99.44215261226243
7.75,18.89661518400129,2.312521259145369,7.844033163619414,0.050453389633647046,99.32206551529666
8.0,23.18111309438547,1.8009962502101866,9.630683867628303,0.04920769100519067,99.17800668905066
8.25,28.412503366444177,1.4026190223475739,11.812275205488458,0.047992748785422895,99.00728654506712
8.5,34.75667180773539,1.0923625570565059,14.45814499111847,0.0468078035959783,98.80807293067406
8.75,42.386134951388804,0.8507339381192605,17.640499235965315,0.04565211480747546,98.58012344126793
9.0,51.46777110307268,0.6625532365851582,21.429341704552517,0.04452496007684,98.32572265358847
9.25,62.1445549501281,0.5159977069343442,25.884913534328007,0.043425634895655596,98.05072001437456
9.5,74.51128471367115,0.4018599805919673,31.04763377719609,0.04235345214990328,97.76544974477909
9.75,88.58608616400312,0.3129693151854667,36.92627440238782,0.041307741690464764,97.48515276978637
10.0,104.28208194996728,0.24374109666320487,43.48618195442508,0.040287849914261986,97.22943516260004
10.25,121.38623660731156,0.18982603342075458,50.64044610061324,0.039293139355734544,97.02039280346975
10.5,139.5537834909054,0.14783687694915845,58.24749813782694,0.03832298828840223,96.87932256983213
10.75,158.32519998136613,0.11513564241598578,66.11803343227277,0.03737679033626713,96.82266328919633
11.0,177.16709028121517,0.08966785845901078,74.03183750503031,0.03645395409480781,96.85826481825237
11.25,195.53086310012142,0.0698334994827977,81.76200531001817,0.03555390276133252,96.98334790802403
11.5,212.91612025185154,0.05438646292218306,89.10115443872348,0.03467607377445874,97.18498843487446
11.75,228.92355894316236,0.04235628120664536,95.88334848907733,0.03381991846249396,97.4429813707792
12.0,243.28607976635192,0.03298715270274369,101.99704410825873,0.032984901700498004,97.73401878156126
12.25,255.87454425304486,0.02569045747008457,107.3875736234637,0.03217050157581256,98.03577805174578
12.5,266.6823102708692,0.020007777252481422,112.05085174983493,0.03137620906184878,98.32983658671664
12.75,275.79691188010554,0.015582095017217676,116.02175169163009,0.030601527699929028,98.60310259533824
13.0,283.3679311239857,0.01213536521517084,119.36088402843224,0.02984597328898414,98.84772740631345
13.25,289.57773145502796,0.009451045448192084,122.1425351215391,0.02910907358291191,99.06035315578232
13.5,294.6182628635449,0.0073604920763817965,124.4450953524373,0.02839036799540795,99.24090129486521
13.75,298.67513130634944,0.005732365113446133,126.34447525671979,0.027689407312084247,99.39140162081877
14.0,301.9180243942539,0.0044643767248223635,127.91013944840462,0.027005753409695542,99.51503411611706
14.25,304.49608294736356,0.003476865054581259,129.2031795937908,0.026338978982298682,99.61543068820568
14.5,306.53667627787183,0.00270778914489906,130.27579215955132,0.025688667274171167,99.69622143949775
14.75,308.14627214937536,0.002108831359264054,131.1716218970654,0.025054411819325603,99.76077287750664
15.0,309.4124382760656,0.001642361892583597,131.92657415555246,0.024435816187456,99.81206108468646
15.25,310.4063080908559,0.0012790745810760573,132.5698208024694,0.023832493736155466,99.85263346212544
15.5,311.18512168752585,0.0009961457287005525,133.12483910973518,0.023244067369252146,99.88461887424396
15.75,311.7946049719654,0.0007758001975624459,133.61038562350308,0.02267016930111186,99.90976717424475
16.0,312.27107848461935,0.0006041946764451106,134.0413599840368,0.022110440826760076,99.92949849422457
16.25,312.64326684433036,0.0004705479682172372,134.4295464723855,0.02156453209767965,99.94495438063196
16.5,312.93381006503586,0.00036646365601117917,134.7842335758276,0.021032101903144078,99.95704581771346
16.75,313.16050559329983,0.0002854025943638973,135.11272328127865,0.020512817456949738,99.96649577916348
17.0,313.3373153444719,0.00022227215151010871,135.420744076763,0.02000635418941815,99.97387559025056
17.25,313.475174712464,0.00017310628291796162,135.71278278043587,0.019512395544532782,99.97963523601474
17.5,313.5826395617441,0.0001348157147659804,135.9923499406534,0.01903063278204294,99.98412831763788
17.75,313.66639558579175,0.000104994872836452,136.2621887919542,0.018560764784538584,99.9876320837483
18.0,313.7316631972846,8.17705722836159e-05,136.5244413643903,0.018102497869259427,99.99036354499347
18.25,313.78251832578155,6.368341684354433e-05,136.78078009860553,0.01765554560443591,99.99249248606455
18.5,313.82214022648134,4.959701444677991e-05,137.0325095183956,0.017219628630351456,99.99415155860396
18.75,313.85300796281774,3.862645056488789e-05,137.2806468469559,0.016794474484703,99.99544434542506
19.0,313.8770538037312,3.0082732923287356e-05,137.52598494660288,0.01637981743237335,99.99645118555601
19.25,313.8957851115771,2.3428822977003653e-05,137.76914233067495,0.015975398299140117,99.9972282011045
19.5,313.9103761149897,1.824666549620495e-05,138.01060081943677,0.015580964309891176,99.9978852118811
19.75,313.9217419533007,1.4210629331211748e-05,138.25073592190478,0.015196268930480065,99.99831140943972
20.0,313.93059530186133,1.1067237211350491e-05,138.48984007044655,0.014821071713347492,99.99869126779207
20.25,313.9374914653422,8.619057294055297e-06,138.7281411237094,0.014455138147226841,99.99898416648091
20.5,313.9428630524085,6.712327934308301e-06,138.9658165945367,0.014098239511268092,99.9992065684355
20.75,313.9470471379361,5.227273090715264e-06,139.20300479536448,0.013750152731600407,99.99938310707033
21.0,313.95030610404405,4.070678785886647e-06,139.43981338989974,0.013410660243051544,99.99951954216615
21.25,313.9528441028918,3.1700314275565277e-06,139.6763261482878,0.013079549855067625,99.99962586642312
21.5,313.9548206264397,2.4686890098146784e-06,139.91260851519039,0.012756614613059585,99.99970866255765
21.75,313.9563593641976,1.9227309808519533e-06,140.14871124439156,0.012441652677926407,99.99977307885135
22.0,313.9575574523418,1.4976692326140136e-06,140.38467419399524,0.012134467184711216,99.99982336902438
22.25,313.9584909577943,1.1664991548710248e-06,140.62052857671668,0.01183486612452775,99.99986220899203
22.5,313.95921836508137,9.084609083844223e-07,140.85629839065163,0.011542662237673687,99.99989294277371
22.75,313.9597848296179,7.075277140815488e-07,141.09200216453266,0.01125767289045775,99.99991638565601
23.0,313.9602257687246,5.511298706716377e-07,141.32765443123674,0.010979719957062324,99.99993512641629
23.25,313.96056885696237,4.294464359151782e-07,141.56326654653708,0.010708629708466866,99.99994944074379
23.5,313.96083592736977,3.347297777456326e-07,141.7988474692399,0.010444232703600951,99.99996027622063
23.75,313.9610442448586,2.608536563330672e-07,142.03440428370072,0.010186363682701302,99.99996925094163
24.0,313.9612067065109,2.0324232853805252e-07,142.2699422820131,0.009934861469650884,99.99997601523931
24.25,313.96133339201134,1.583198909825299e-07,142.50546560019973,0.009689568867910205,99.99998131647953
24.5,313.9614320946215,1.2332186365173574e-07,142.74097743608976,0.00945033256172881,99.99998543475293
24.75,313.96150886728987,9.610118259796047e-08,142.97648027340588,0.009217003022163392,99.99998865006859
25.0,313.9615682974175,7.503080663213135e-08,143.2119759945092,0.008989434414734754,99.99999112252178
25.25,313.96161463272045,5.86038778930401e-08,143.4474663423774,0.008767484495826533,99.9999930840429
25.5,313.9616503723097,4.593427152546375e-08,143.68295234247753,0.008551014547314714,99.99999458370492
25.75,313.96167853694465,3.595026791818927e-08,143.91843523432777,0.008339889256573038,99.9999957566788
26.0,313.9617004144857,2.8195351111202672e-08,144.1539155463854,0.008133976673642594,99.99999667116637
26.25,313.9617177799987,2.203984278892539e-08,144.38939400702145,0.007933148084140636,99.99999739849771
