2026-06-08 10:05:29 | INFO     | STAGE:UNKNOWN | __init__ | PipelineLogger initialised. Log file: logs/pipeline_20260608_100529.log
2026-06-08 10:05:29 | INFO     | STAGE:4 | info | Optimising control actions at t=0.0 h
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
2026-06-08 10:05:30 | DEBUG    | STAGE:4 | debug | Predicting state 4.0 h ahead from t=0.0
